name,sku,category,price,qty,image,images,video,description,featured
Ignite 2M Clip-On Ignitors,fwsm-6660,Firing Systems,22.00,999,https://fireworkssupermarket.com/wp-content/uploads/2M.png,,,"All IGNITE modules use the industry standard Quick plug; connectors and support IGNITE clip-on fuse igniters. One-time use only, a 20 pack of 2 meter length IGNITE clip-on igniters.",
Outlaw Justice,fwsm-6654,500 Gram,59.99,999,https://fireworkssupermarket.com/wp-content/uploads/5874_01.png,,https://player.vimeo.com/video/1178608540,"A combination of tails, palms and strobes effects with red, gold, white, and green colors. Big white strobe with chrysanthemum, sizzling white with strobe, brocade crown and gold willow effects. 36 Shots",
Fluorescent,fwsm-6652,500 Gram,59.99,999,https://fireworkssupermarket.com/wp-content/uploads/5875_01.png,,https://player.vimeo.com/video/1178607278,"Big breaks and bright colors with this 16 shot 500 gram cake. Red and gold strobe mines to orange, blue and purple dahlias, gold and purple blossoms and crackling",
Dragon Blaze,fwsm-6651,500 Gram,59.99,999,https://fireworkssupermarket.com/wp-content/uploads/dragon-blaze.png,,https://player.vimeo.com/video/1063700608,"Dragon Blaze has 24 angled shots of Gold to brocade with color combinations of blue and purple, orange, sky blue and crackling. It's all its cracked up to be!",
Star Chaser,fwsm-6649,500 Gram,139.99,999,https://fireworkssupermarket.com/wp-content/uploads/5827_01.png,,https://player.vimeo.com/video/1178608075,"A 115 shot zipper cake that rapid fires back and forth with crackling comets, brocade crown, peony, strobes, chrysanthemum and tail effects. Colors include: Red, green, blue, purple and gold.",
Mutant Strain,fwsm-6645,200 Gram,34.99,999,https://fireworkssupermarket.com/wp-content/uploads/2843_01.png,,https://player.vimeo.com/video/1178608991,"25 shots of Chrysanthemum, mines, peony and strobe effects with bright blue and red colors.",
Screeching Glory,fwsm-6609,500 Gram,84.99,999,https://fireworkssupermarket.com/wp-content/uploads/screeching-glory.png,,https://player.vimeo.com/video/1040911795,"Peonies, chrysanthemums, and howling whistlers break into stunning multi colored shots that will impress your neighbors! 30 shots.",
Cylozar,fwsm-6608,500 Gram,79.99,999,https://fireworkssupermarket.com/wp-content/uploads/cylozar.png,,https://player.vimeo.com/video/1063699837,"Step into the unknown with &#8220;Cylozar,&#8221; a 36-shot extraterrestrial spectacle that lights up the night with an array of effects. From the cosmic dance of Chrysanthemums and Spiders to the intense flicker of Strobe and sweeping arc of Willows, each burst unfolds in a vivid palette of colors. Experience a cake that's as mysterious as it is breathtaking, perfect for galactic adventurers and sky gazers.",
Valtor,fwsm-6607,500 Gram,99.99,999,https://fireworkssupermarket.com/wp-content/uploads/valtor.png,,https://player.vimeo.com/video/1063709702,"Elevate your next backyard bash with Valtor! 45 fanned shots that bring a touch of mystique and grandeur. It unleashes crackling mine split time rain with dahlias of red, green, blue, crackling willow and strobe.",
Backbender,fwsm-6606,200 Gram,24.99,999,https://fireworkssupermarket.com/wp-content/uploads/backbender.png,,https://player.vimeo.com/video/1020259256,"Better than any 3-ring circus these shots of whirlpools and chrysanthemums break in a spectacle of purple, red, green, and blue! 16 shots.",
